city,state,population_2024_estimate,population_year,scraped_date,data_source
Grand Rapids,MI,200117,2024,2025-12-22,Wikipedia – List of United States cities by population
Peoria,AZ,199924,2024,2025-12-22,Wikipedia – List of United States cities by population
Vancouver,WA,198992,2024,2025-12-22,Wikipedia – List of United States cities by population
Knoxville,TN,198722,2024,2025-12-22,Wikipedia – List of United States cities by population
Birmingham,AL,196357,2024,2025-12-22,Wikipedia – List of United States cities by population
Montgomery,AL,195818,2024,2025-12-22,Wikipedia – List of United States cities by population
Providence,RI,194706,2024,2025-12-22,Wikipedia – List of United States cities by population
Huntington Beach,CA,193151,2024,2025-12-22,Wikipedia – List of United States cities by population
Brownsville,TX,191967,2024,2025-12-22,Wikipedia – List of United States cities by population
Chattanooga,TN,191496,2024,2025-12-22,Wikipedia – List of United States cities by population
Fort Lauderdale,FL,190641,2024,2025-12-22,Wikipedia – List of United States cities by population
Tempe,AZ,190114,2024,2025-12-22,Wikipedia – List of United States cities by population
Akron,OH,189664,2024,2025-12-22,Wikipedia – List of United States cities by population
Glendale,CA,187823,2024,2025-12-22,Wikipedia – List of United States cities by population
Clarksville,TN,185690,2024,2025-12-22,Wikipedia – List of United States cities by population
Ontario,CA,185285,2024,2025-12-22,Wikipedia – List of United States cities by population
Newport News,VA,183056,2024,2025-12-22,Wikipedia – List of United States cities by population
Elk Grove,CA,182797,2024,2025-12-22,Wikipedia – List of United States cities by population
Cary,NC,182659,2024,2025-12-22,Wikipedia – List of United States cities by population
Aurora,IL,180710,2024,2025-12-22,Wikipedia – List of United States cities by population
Salem,OR,180406,2024,2025-12-22,Wikipedia – List of United States cities by population
Pembroke Pines,FL,179326,2024,2025-12-22,Wikipedia – List of United States cities by population
Eugene,OR,178786,2024,2025-12-22,Wikipedia – List of United States cities by population
Santa Rosa,CA,177524,2024,2025-12-22,Wikipedia – List of United States cities by population
Rancho Cucamonga,CA,176675,2024,2025-12-22,Wikipedia – List of United States cities by population
Shreveport,LA,176578,2024,2025-12-22,Wikipedia – List of United States cities by population
Garden Grove,CA,172361,2024,2025-12-22,Wikipedia – List of United States cities by population
Oceanside,CA,170941,2024,2025-12-22,Wikipedia – List of United States cities by population
Fort Collins,CO,170924,2024,2025-12-22,Wikipedia – List of United States cities by population
Springfield,MO,170596,2024,2025-12-22,Wikipedia – List of United States cities by population
Murfreesboro,TN,168387,2024,2025-12-22,Wikipedia – List of United States cities by population
Surprise,AZ,167564,2024,2025-12-22,Wikipedia – List of United States cities by population
Lancaster,CA,167426,2024,2025-12-22,Wikipedia – List of United States cities by population
Denton,TX,165998,2024,2025-12-22,Wikipedia – List of United States cities by population
Roseville,CA,163304,2024,2025-12-22,Wikipedia – List of United States cities by population
Palmdale,CA,162536,2024,2025-12-22,Wikipedia – List of United States cities by population
Corona,CA,161540,2024,2025-12-22,Wikipedia – List of United States cities by population
Salinas,CA,160783,2024,2025-12-22,Wikipedia – List of United States cities by population
Killeen,TX,160616,2024,2025-12-22,Wikipedia – List of United States cities by population
Paterson,NJ,160463,2024,2025-12-22,Wikipedia – List of United States cities by population
Alexandria,VA,159102,2024,2025-12-22,Wikipedia – List of United States cities by population
Hollywood,FL,159073,2024,2025-12-22,Wikipedia – List of United States cities by population
Hayward,CA,158440,2024,2025-12-22,Wikipedia – List of United States cities by population
Charleston,SC,157665,2024,2025-12-22,Wikipedia – List of United States cities by population
Macon,GA,157056,2024,2025-12-22,Wikipedia – List of United States cities by population
Lakewood,CO,156868,2024,2025-12-22,Wikipedia – List of United States cities by population
Sunnyvale,CA,156792,2024,2025-12-22,Wikipedia – List of United States cities by population
Kansas City,KS,156752,2024,2025-12-22,Wikipedia – List of United States cities by population
Springfield,MA,154888,2024,2025-12-22,Wikipedia – List of United States cities by population
Bellevue,WA,154377,2024,2025-12-22,Wikipedia – List of United States cities by population
Naperville,IL,153124,2024,2025-12-22,Wikipedia – List of United States cities by population
Joliet,IL,151837,2024,2025-12-22,Wikipedia – List of United States cities by population
Bridgeport,CT,151599,2024,2025-12-22,Wikipedia – List of United States cities by population
Mesquite,TX,150140,2024,2025-12-22,Wikipedia – List of United States cities by population
Pasadena,TX,149617,2024,2025-12-22,Wikipedia – List of United States cities by population
Olathe,KS,149035,2024,2025-12-22,Wikipedia – List of United States cities by population
Escondido,CA,148847,2024,2025-12-22,Wikipedia – List of United States cities by population
Savannah,GA,148808,2024,2025-12-22,Wikipedia – List of United States cities by population
McAllen,TX,148782,2024,2025-12-22,Wikipedia – List of United States cities by population
Gainesville,FL,148720,2024,2025-12-22,Wikipedia – List of United States cities by population
Pomona,CA,147966,2024,2025-12-22,Wikipedia – List of United States cities by population
Rockford,IL,147486,2024,2025-12-22,Wikipedia – List of United States cities by population
Thornton,CO,146689,2024,2025-12-22,Wikipedia – List of United States cities by population
Waco,TX,146608,2024,2025-12-22,Wikipedia – List of United States cities by population
Visalia,CA,146271,2024,2025-12-22,Wikipedia – List of United States cities by population
Syracuse,NY,146097,2024,2025-12-22,Wikipedia – List of United States cities by population
Columbia,SC,144788,2024,2025-12-22,Wikipedia – List of United States cities by population
Midland,TX,143687,2024,2025-12-22,Wikipedia – List of United States cities by population
Miramar,FL,143242,2024,2025-12-22,Wikipedia – List of United States cities by population
Palm Bay,FL,142023,2024,2025-12-22,Wikipedia – List of United States cities by population
Lakewood,NJ,141985,2024,2025-12-22,Wikipedia – List of United States cities by population
Jackson,MS,141449,2024,2025-12-22,Wikipedia – List of United States cities by population
Coral Springs,FL,140808,2024,2025-12-22,Wikipedia – List of United States cities by population
Victorville,CA,140721,2024,2025-12-22,Wikipedia – List of United States cities by population
Elizabeth,NJ,140413,2024,2025-12-22,Wikipedia – List of United States cities by population
Fullerton,CA,140054,2024,2025-12-22,Wikipedia – List of United States cities by population
Meridian,ID,139740,2024,2025-12-22,Wikipedia – List of United States cities by population
Torrance,CA,139576,2024,2025-12-22,Wikipedia – List of United States cities by population
Stamford,CT,139134,2024,2025-12-22,Wikipedia – List of United States cities by population
West Valley City,UT,138144,2024,2025-12-22,Wikipedia – List of United States cities by population
Orange,CA,137941,2024,2025-12-22,Wikipedia – List of United States cities by population
Cedar Rapids,IA,137904,2024,2025-12-22,Wikipedia – List of United States cities by population
Warren,MI,137686,2024,2025-12-22,Wikipedia – List of United States cities by population
Hampton,VA,137596,2024,2025-12-22,Wikipedia – List of United States cities by population
New Haven,CT,137562,2024,2025-12-22,Wikipedia – List of United States cities by population
Pasadena,CA,137195,2024,2025-12-22,Wikipedia – List of United States cities by population
Kent,WA,136588,2024,2025-12-22,Wikipedia – List of United States cities by population
Dayton,OH,136346,2024,2025-12-22,Wikipedia – List of United States cities by population
Fargo,ND,136285,2024,2025-12-22,Wikipedia – List of United States cities by population
Lewisville,TX,135983,2024,2025-12-22,Wikipedia – List of United States cities by population
Carrollton,TX,135456,2024,2025-12-22,Wikipedia – List of United States cities by population
Round Rock,TX,135359,2024,2025-12-22,Wikipedia – List of United States cities by population
Sterling Heights,MI,134342,2024,2025-12-22,Wikipedia – List of United States cities by population
Santa Clara,CA,133132,2024,2025-12-22,Wikipedia – List of United States cities by population
Norman,OK,131010,2024,2025-12-22,Wikipedia – List of United States cities by population
Columbia,MO,130900,2024,2025-12-22,Wikipedia – List of United States cities by population
Abilene,TX,130501,2024,2025-12-22,Wikipedia – List of United States cities by population
Pearland,TX,129620,2024,2025-12-22,Wikipedia – List of United States cities by population
Athens,GA,128691,2024,2025-12-22,Wikipedia – List of United States cities by population
College Station,TX,128023,2024,2025-12-22,Wikipedia – List of United States cities by population
Clovis,CA,127993,2024,2025-12-22,Wikipedia – List of United States cities by population
West Palm Beach,FL,127744,2024,2025-12-22,Wikipedia – List of United States cities by population
Allentown,PA,127138,2024,2025-12-22,Wikipedia – List of United States cities by population
North Charleston,SC,126005,2024,2025-12-22,Wikipedia – List of United States cities by population
Simi Valley,CA,125778,2024,2025-12-22,Wikipedia – List of United States cities by population
Topeka,KS,125467,2024,2025-12-22,Wikipedia – List of United States cities by population
Wilmington,NC,125284,2024,2025-12-22,Wikipedia – List of United States cities by population
Lakeland,FL,124990,2024,2025-12-22,Wikipedia – List of United States cities by population
Thousand Oaks,CA,124229,2024,2025-12-22,Wikipedia – List of United States cities by population
Concord,CA,124016,2024,2025-12-22,Wikipedia – List of United States cities by population
Rochester,MN,123624,2024,2025-12-22,Wikipedia – List of United States cities by population
Vallejo,CA,123475,2024,2025-12-22,Wikipedia – List of United States cities by population
Ann Arbor,MI,122925,2024,2025-12-22,Wikipedia – List of United States cities by population
Broken Arrow,OK,122756,2024,2025-12-22,Wikipedia – List of United States cities by population
Fairfield,CA,122646,2024,2025-12-22,Wikipedia – List of United States cities by population
Lafayette,LA,122280,2024,2025-12-22,Wikipedia – List of United States cities by population
Hartford,CT,122129,2024,2025-12-22,Wikipedia – List of United States cities by population
Arvada,CO,121873,2024,2025-12-22,Wikipedia – List of United States cities by population
Berkeley,CA,121749,2024,2025-12-22,Wikipedia – List of United States cities by population
Independence,MO,121629,2024,2025-12-22,Wikipedia – List of United States cities by population
Billings,MT,121483,2024,2025-12-22,Wikipedia – List of United States cities by population
Cambridge,MA,121186,2024,2025-12-22,Wikipedia – List of United States cities by population
Lowell,MA,120418,2024,2025-12-22,Wikipedia – List of United States cities by population
Odessa,TX,119748,2024,2025-12-22,Wikipedia – List of United States cities by population
High Point,NC,118601,2024,2025-12-22,Wikipedia – List of United States cities by population
League City,TX,118456,2024,2025-12-22,Wikipedia – List of United States cities by population
Antioch,CA,118453,2024,2025-12-22,Wikipedia – List of United States cities by population
Richardson,TX,118221,2024,2025-12-22,Wikipedia – List of United States cities by population
Goodyear,AZ,118186,2024,2025-12-22,Wikipedia – List of United States cities by population
Pompano Beach,FL,118104,2024,2025-12-22,Wikipedia – List of United States cities by population
Nampa,ID,117350,2024,2025-12-22,Wikipedia – List of United States cities by population
Menifee,CA,117041,2024,2025-12-22,Wikipedia – List of United States cities by population
Las Cruces,NM,116998,2024,2025-12-22,Wikipedia – List of United States cities by population
Clearwater,FL,116811,2024,2025-12-22,Wikipedia – List of United States cities by population
West Jordan,UT,116688,2024,2025-12-22,Wikipedia – List of United States cities by population
New Braunfels,TX,116477,2024,2025-12-22,Wikipedia – List of United States cities by population
Manchester,NH,116386,2024,2025-12-22,Wikipedia – List of United States cities by population
Miami Gardens,FL,116173,2024,2025-12-22,Wikipedia – List of United States cities by population
Waterbury,CT,115908,2024,2025-12-22,Wikipedia – List of United States cities by population
Provo,UT,115479,2024,2025-12-22,Wikipedia – List of United States cities by population
Evansville,IN,115395,2024,2025-12-22,Wikipedia – List of United States cities by population
Richmond,CA,115353,2024,2025-12-22,Wikipedia – List of United States cities by population
Westminster,CO,115302,2024,2025-12-22,Wikipedia – List of United States cities by population
Elgin,IL,114701,2024,2025-12-22,Wikipedia – List of United States cities by population
Conroe,TX,114581,2024,2025-12-22,Wikipedia – List of United States cities by population
Greeley,CO,114363,2024,2025-12-22,Wikipedia – List of United States cities by population
Lansing,MI,114336,2024,2025-12-22,Wikipedia – List of United States cities by population
Buckeye,AZ,114334,2024,2025-12-22,Wikipedia – List of United States cities by population
Tuscaloosa,AL,114288,2024,2025-12-22,Wikipedia – List of United States cities by population
Allen,TX,113746,2024,2025-12-22,Wikipedia – List of United States cities by population
Carlsbad,CA,113575,2024,2025-12-22,Wikipedia – List of United States cities by population
Everett,WA,113011,2024,2025-12-22,Wikipedia – List of United States cities by population
Springfield,IL,112949,2024,2025-12-22,Wikipedia – List of United States cities by population
Beaumont,TX,112893,2024,2025-12-22,Wikipedia – List of United States cities by population
Murrieta,CA,112539,2024,2025-12-22,Wikipedia – List of United States cities by population
Rio Rancho,NM,112524,2024,2025-12-22,Wikipedia – List of United States cities by population
Temecula,CA,112431,2024,2025-12-22,Wikipedia – List of United States cities by population
Concord,NC,112395,2024,2025-12-22,Wikipedia – List of United States cities by population
Tyler,TX,112219,2024,2025-12-22,Wikipedia – List of United States cities by population
Davie,FL,112052,2024,2025-12-22,Wikipedia – List of United States cities by population
South Fulton,GA,112003,2024,2025-12-22,Wikipedia – List of United States cities by population
Peoria,IL,111696,2024,2025-12-22,Wikipedia – List of United States cities by population
Sparks,NV,111520,2024,2025-12-22,Wikipedia – List of United States cities by population
Gresham,OR,111507,2024,2025-12-22,Wikipedia – List of United States cities by population
Santa Maria,CA,111346,2024,2025-12-22,Wikipedia – List of United States cities by population
Pueblo,CO,111166,2024,2025-12-22,Wikipedia – List of United States cities by population
Hillsboro,OR,110337,2024,2025-12-22,Wikipedia – List of United States cities by population
Edison,NJ,110002,2024,2025-12-22,Wikipedia – List of United States cities by population
Sugar Land,TX,109851,2024,2025-12-22,Wikipedia – List of United States cities by population
Ventura,CA,109831,2024,2025-12-22,Wikipedia – List of United States cities by population
Downey,CA,109368,2024,2025-12-22,Wikipedia – List of United States cities by population
Costa Mesa,CA,109131,2024,2025-12-22,Wikipedia – List of United States cities by population
Centennial,CO,108853,2024,2025-12-22,Wikipedia – List of United States cities by population
Edinburg,TX,108733,2024,2025-12-22,Wikipedia – List of United States cities by population
