city,state,population_estimate
Burbank,CA,103533
Lynn,MA,103489
Quincy,MA,103434
El Cajon,CA,103291
Fayetteville,AR,103134
Suffolk[l],VA,103105
San Mateo,CA,103006
Chico,CA,102911
Inglewood,CA,102774
Wichita Falls,TX,102372
Boca Raton,FL,102238
Hesperia,CA,101836
Daly City,CA,101418
Clinton[aa],MI,101359
Georgetown,TX,101344
New Bedford,MA,101318
Albany,NY,101317
Davenport,IA,100938
Plantation,FL,100694
Deltona,FL,100513
Federal Way,WA,100252
San Angelo,TX,100159
Tracy,CA,100136
Sunrise,FL,100128
